doy,year,tmax,tmin
219,2041,35.12854002,23.60334692
219,2042,38.69589233,25.62114767
219,2043,37.38977145,23.59234544
219,2044,36.35636898,23.83930989
219,2045,36.58616095,24.27471535
219,2046,35.62263704,25.38097607
219,2047,34.16068871,22.29860599
219,2048,34.15650464,24.76819128
219,2049,36.35017629,24.25293748
219,2050,36.75520532,24.42358429
219,2051,28.4325919,23.00001009
219,2052,35.9916959,24.35270611
219,2053,36.17753163,23.86664745
219,2054,39.73471069,22.44486512
219,2055,36.30457558,26.13941765
219,2056,34.69402515,23.8565708
219,2057,33.27475375,25.16019721
219,2058,33.75888636,24.43757583
219,2059,34.35468284,24.70510352
219,2060,31.88108587,24.14538298
219,2061,29.32157475,24.70676061
219,2062,32.04371571,20.37024837
219,2063,31.0058135,24.06822623
219,2064,31.06957532,22.23487251
219,2065,36.49600396,23.60701408
219,2066,35.03523859,25.48859511
219,2067,35.29259138,22.40253706
219,2068,32.40200515,25.42636787
219,2069,36.0685013,26.95655632
220,2040,36.26985899,21.5816954
220,2041,33.13476374,23.89099934
220,2042,38.41659546,25.10244522
220,2043,36.06898284,23.64528012
220,2044,36.67104904,24.20917027
220,2045,37.42102634,24.27007824
220,2046,32.26069214,25.97559929
220,2047,36.35317881,23.631887
220,2048,30.83493918,24.98097422
220,2049,36.73822771,24.74795111
220,2050,37.93634147,24.25086734
220,2051,26.97885751,22.94671823
220,2052,35.08286453,26.23902702
220,2053,36.66841458,24.48233905
220,2054,36.58074568,25.40122124
220,2055,36.08294746,26.51807976
220,2056,34.38052231,24.16263363
220,2057,33.77101456,23.09449789
220,2058,33.58546184,22.86158143
220,2059,34.13907103,24.54768803
220,2060,31.06163408,24.00814187
220,2061,32.59727985,24.23099399
220,2062,33.85749909,23.91049761
220,2063,31.38468835,24.26196329
220,2064,32.5328109,23.75896239
220,2065,35.04055447,24.16330226
220,2066,35.39915187,24.79257416
220,2067,33.12852143,24.02207633
220,2068,34.19611568,24.44714898
220,2069,36.23870789,26.67872429
221,2040,35.4735257,21.76280134
221,2041,30.54816282,21.28523675
221,2042,37.27334695,24.29342942
221,2043,32.0297953,24.67906354
221,2044,36.46570769,23.39426192
221,2045,39.11532593,24.54272482
221,2046,34.25317791,24.22801298
221,2047,35.40569822,24.83104231
221,2048,33.37583732,25.60963989
221,2049,36.47126932,25.86256218
221,2050,36.04322053,24.48171865
221,2051,27.9385518,21.18425622
221,2052,34.9347101,26.60059929
221,2053,36.5877709,24.61076221
221,2054,30.43648697,24.80677778
221,2055,34.69566836,24.254842
221,2056,32.05750096,24.62379065
221,2057,34.20983256,23.47087095
221,2058,32.86287051,23.65755714
221,2059,32.69156931,23.84378839
221,2060,32.046689,24.04956173
221,2061,32.90949686,24.52390597
221,2062,32.15735053,25.67911278
221,2063,32.75240708,24.18349488
221,2064,31.6089101,25.16808217
221,2065,33.96588222,25.26888179
221,2066,35.51789541,24.88997753
221,2067,31.30479574,24.36264747
221,2068,34.17716347,25.66803121
221,2069,36.29594335,25.09157676
